library_id	reference_genome_assembly	library_strategy	library_layout	library_source	platform	type	genomic_info_id	file.file_id	library_selection	instrument_model
TWFU-CPT0025880013-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f444b7fe-1c04-11ee-a59f-8f5ecb303263_TWFU-CPT0025880013-ATAC	dg.4DFC/f444b7fe-1c04-11ee-a59f-8f5ecb303263	Not specified in data	Not specified in data
TWFU-CPT0025880013-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f444deaa-1c04-11ee-8a2d-a7f411a4f709_TWFU-CPT0025880013-ATAC	dg.4DFC/f444deaa-1c04-11ee-8a2d-a7f411a4f709	Not specified in data	Not specified in data
TWFU-CPT0025880013-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f445036c-1c04-11ee-b53d-3b9117dddd5d_TWFU-CPT0025880013-ATAC	dg.4DFC/f445036c-1c04-11ee-b53d-3b9117dddd5d	Not specified in data	Not specified in data
TWFU-CPT0025880013-ATAC	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f44528f6-1c04-11ee-85b3-9bf5001a4b3f_TWFU-CPT0025880013-ATAC	dg.4DFC/f44528f6-1c04-11ee-85b3-9bf5001a4b3f	Not specified in data	Not specified in data
TWFU-CPT0063630004-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4454af2-1c04-11ee-83c0-fb6b8c620dbf_TWFU-CPT0063630004-Y1N1Ba1_1	dg.4DFC/f4454af2-1c04-11ee-83c0-fb6b8c620dbf	Not specified in data	Not specified in data
TWFU-CPT0063630004-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f445718a-1c04-11ee-b9a2-97febf1c907e_TWFU-CPT0063630004-Y1N1Ba1_1	dg.4DFC/f445718a-1c04-11ee-b9a2-97febf1c907e	Not specified in data	Not specified in data
TWFU-CPT0063630004-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4459782-1c04-11ee-a9ce-07e0a2b25a9e_TWFU-CPT0063630004-Y1N1Ba1_1	dg.4DFC/f4459782-1c04-11ee-a9ce-07e0a2b25a9e	Not specified in data	Not specified in data
TWFU-CPT0065690004-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f445bd52-1c04-11ee-b111-af23d222facb_TWFU-CPT0065690004-Y1N1Ba1_1	dg.4DFC/f445bd52-1c04-11ee-b111-af23d222facb	Not specified in data	Not specified in data
TWFU-CPT0065690004-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f445e322-1c04-11ee-8ff1-9fb025e4577a_TWFU-CPT0065690004-Y1N1Ba1_1	dg.4DFC/f445e322-1c04-11ee-8ff1-9fb025e4577a	Not specified in data	Not specified in data
TWFU-CPT0065690004-Y1N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f44608e8-1c04-11ee-aa63-d75db9ddce68_TWFU-CPT0065690004-Y1N1Ba1_1	dg.4DFC/f44608e8-1c04-11ee-aa63-d75db9ddce68	Not specified in data	Not specified in data
